,fecha,cod_ine,municipio,departamento,dosis,porcentaje
3597,2022-01-22,10903,Las Carreras,Chuquisaca,1,55
3598,2022-01-22,10903,Las Carreras,Chuquisaca,2,50
3613,2022-01-22,10404,Alcala,Chuquisaca,1,53
3614,2022-01-22,10404,Alcala,Chuquisaca,2,52
3629,2022-01-22,10901,Camataqui (C. Villa Abecia),Chuquisaca,1,55
3630,2022-01-22,10901,Camataqui (C. Villa Abecia),Chuquisaca,2,54
3645,2022-01-22,10405,El Villar,Chuquisaca,1,67
3646,2022-01-22,10405,El Villar,Chuquisaca,2,60
3661,2022-01-22,11002,Huacaya (Villa De Huacaya),Chuquisaca,1,72
3662,2022-01-22,11002,Huacaya (Villa De Huacaya),Chuquisaca,2,70
3677,2022-01-22,10701,Camargo,Chuquisaca,1,74
3678,2022-01-22,10701,Camargo,Chuquisaca,2,70
3693,2022-01-22,11003,Machareti,Chuquisaca,1,77
3694,2022-01-22,11003,Machareti,Chuquisaca,2,73
3709,2022-01-22,10801,Villa Serrano,Chuquisaca,1,79
3710,2022-01-22,10801,Villa Serrano,Chuquisaca,2,76
